id,data,canal,nota_nps,nota_csat
1,2026-06-13,chat,0,3
2,2026-03-04,chat,2,1
3,2026-06-23,reclame_aqui,8,1
4,2026-06-01,email,0,1
5,2026-01-24,chat,3,5
6,2026-06-04,chat,8,2
7,2026-07-03,reclame_aqui,8,4
8,2026-02-26,email,9,3
9,2026-07-27,chat,2,4
10,2026-03-29,email,2,2
11,2026-07-15,email,1,1
12,2026-04-08,chat,5,3
13,2026-06-04,email,0,4
14,2026-05-18,chat,6,1
15,2026-05-22,email,10,5
16,2026-04-03,reclame_aqui,3,1
17,2026-01-12,reclame_aqui,3,3
18,2026-01-21,chat,1,4
19,2026-03-13,email,10,3
20,2026-02-11,email,5,2
21,2026-06-21,email,10,1
22,2026-06-05,reclame_aqui,2,5
23,2026-07-06,chat,2,4
24,2026-04-08,email,10,5
25,2026-02-26,reclame_aqui,5,1
26,2026-02-28,chat,5,4
27,2026-03-10,chat,3,5
28,2026-07-03,email,3,4
29,2026-04-12,reclame_aqui,7,2
30,2026-03-09,chat,3,5
31,2026-05-18,email,9,4
32,2026-05-30,email,5,2
33,2026-02-05,reclame_aqui,7,1
34,2026-07-13,chat,1,2
35,2026-06-10,chat,10,4
36,2026-06-02,chat,6,4
37,2026-06-02,email,8,3
38,2026-05-22,chat,10,1
39,2026-06-24,reclame_aqui,4,3
40,2026-01-29,email,6,2
41,2026-04-27,chat,4,5
42,2026-07-15,chat,8,1
43,2026-06-10,email,10,5
44,2026-06-05,chat,2,3
45,2026-07-15,chat,8,5
46,2026-01-01,reclame_aqui,5,4
47,2026-01-05,chat,5,3
48,2026-03-03,chat,3,5
49,2026-01-21,chat,7,1
50,2026-07-14,reclame_aqui,2,2
51,2026-06-18,email,8,2
52,2026-03-09,reclame_aqui,9,4
53,2026-02-24,reclame_aqui,3,3
54,2026-04-13,reclame_aqui,10,3
55,2026-04-23,reclame_aqui,7,1
56,2026-03-05,chat,1,3
57,2026-01-06,reclame_aqui,8,2
58,2026-05-31,chat,0,1
59,2026-07-01,reclame_aqui,0,2
60,2026-01-18,chat,5,1
61,2026-05-12,chat,4,4
62,2026-02-24,reclame_aqui,2,5
63,2026-05-28,email,3,4
64,2026-07-26,email,3,1
65,2026-01-25,reclame_aqui,6,3
66,2026-04-19,email,7,1
67,2026-06-22,reclame_aqui,10,1
68,2026-01-16,email,5,1
69,2026-03-05,chat,3,5
70,2026-04-25,chat,6,2
71,2026-03-13,email,3,1
72,2026-04-24,reclame_aqui,1,1
73,2026-06-16,reclame_aqui,0,1
74,2026-07-12,chat,2,4
75,2026-05-05,email,3,4
76,2026-01-16,chat,6,1
77,2026-04-10,email,7,3
78,2026-04-19,reclame_aqui,8,4
79,2026-02-09,chat,4,2
80,2026-01-15,reclame_aqui,8,1
81,2026-07-11,email,0,1
82,2026-05-30,email,8,5
83,2026-02-10,chat,8,1
84,2026-02-17,chat,9,1
85,2026-06-22,chat,6,1
86,2026-05-26,chat,9,5
87,2026-01-11,reclame_aqui,1,4
88,2026-06-18,reclame_aqui,9,5
89,2026-03-22,email,3,3
90,2026-03-03,email,6,2
91,2026-06-21,reclame_aqui,4,4
92,2026-03-22,chat,0,4
93,2026-06-09,reclame_aqui,1,1
94,2026-05-18,chat,8,3
95,2026-02-03,email,1,2
96,2026-04-05,email,2,4
97,2026-05-20,reclame_aqui,4,5
98,2026-07-26,reclame_aqui,8,1
99,2026-06-20,reclame_aqui,4,1
100,2026-02-04,email,1,1
101,2026-07-10,reclame_aqui,2,3
102,2026-03-14,reclame_aqui,3,3
103,2026-02-22,reclame_aqui,10,3
104,2026-05-10,email,4,1
105,2026-01-24,reclame_aqui,6,3
106,2026-01-12,chat,5,2
107,2026-06-13,email,2,4
108,2026-05-22,reclame_aqui,6,5
109,2026-01-03,chat,1,2
110,2026-05-20,chat,5,5
111,2026-05-22,chat,6,2
112,2026-01-11,email,5,1
113,2026-04-02,chat,10,2
114,2026-06-20,chat,5,5
115,2026-04-15,reclame_aqui,2,2
116,2026-02-11,chat,6,1
117,2026-02-15,reclame_aqui,5,4
118,2026-07-25,reclame_aqui,3,3
119,2026-02-10,reclame_aqui,1,4
120,2026-01-10,email,3,2
121,2026-07-29,email,5,3
122,2026-07-30,chat,3,1
123,2026-06-18,chat,6,3
124,2026-03-13,chat,4,3
125,2026-06-14,reclame_aqui,6,5
126,2026-03-26,chat,1,3
127,2026-02-15,reclame_aqui,4,1
128,2026-01-28,reclame_aqui,6,3
129,2026-07-06,email,6,5
130,2026-05-11,chat,6,5
131,2026-02-18,email,0,4
132,2026-01-01,reclame_aqui,8,2
133,2026-04-04,email,1,3
134,2026-06-09,email,10,1
135,2026-07-04,email,8,3
136,2026-06-20,email,5,4
137,2026-06-28,email,8,2
138,2026-02-19,email,10,4
139,2026-06-23,reclame_aqui,2,5
140,2026-05-26,email,6,5
141,2026-01-01,email,4,2
142,2026-04-21,reclame_aqui,9,3
143,2026-04-30,email,7,2
144,2026-05-11,email,2,1
145,2026-03-14,reclame_aqui,10,5
146,2026-03-27,chat,3,3
147,2026-02-27,chat,2,1
148,2026-01-12,chat,7,5
149,2026-07-16,chat,7,4
150,2026-06-11,reclame_aqui,3,4
151,2026-05-07,email,3,2
152,2026-06-17,reclame_aqui,0,1
153,2026-07-19,email,3,2
154,2026-07-25,reclame_aqui,8,4
155,2026-01-13,reclame_aqui,3,1
156,2026-04-27,chat,7,5
157,2026-05-24,reclame_aqui,5,4
158,2026-06-06,reclame_aqui,8,4
159,2026-05-21,email,2,4
160,2026-04-26,email,3,3
161,2026-07-16,reclame_aqui,7,2
162,2026-03-12,email,1,3
163,2026-03-02,email,5,3
164,2026-05-19,chat,2,2
165,2026-03-01,email,2,2
166,2026-01-17,email,6,3
167,2026-05-19,email,6,1
168,2026-02-22,email,6,5
169,2026-06-28,chat,9,4
170,2026-05-03,chat,5,3
